Vector 1: Weights: [0. 0. 0. 0.], Bias: 0, Count: 0
Vector 67: Weights: [-37.146931 -19.88382  -20.128415  -5.582956], Bias: 20, Count: 25
Vector 68: Weights: [-35.467031 -15.67702  -24.668215  -7.976056], Bias: 21, Count: 20
Vector 69: Weights: [-38.697531 -22.89052  -13.024915  -8.922186], Bias: 22, Count: 23
Vector 70: Weights: [-38.052811 -18.28432  -21.371915  -6.212286], Bias: 21, Count: 10
Vector 71: Weights: [-36.701011 -17.22482  -23.715615  -5.812306], Bias: 22, Count: 74
Vector 72: Weights: [-35.914111 -26.79112  -19.928915   1.691094], Bias: 21, Count: 5
Vector 73: Weights: [-34.406411 -24.83152  -22.987315   1.568664], Bias: 22, Count: 58
Vector 74: Weights: [-33.724611 -19.98112  -28.200615  -4.535636], Bias: 23, Count: 26
Vector 75: Weights: [-36.261911 -26.94012  -19.395215  -3.006736], Bias: 24, Count: 38
Vector 76: Weights: [-33.870211 -22.38362  -24.384015  -5.905436], Bias: 25, Count: 53
Vector 77: Weights: [-34.389711 -19.12032  -27.473515  -4.920536], Bias: 24, Count: 22
Vector 78: Weights: [-38.085811 -32.79822   -9.894015  -7.538636], Bias: 25, Count: 12
Vector 79: Weights: [-37.190691 -28.02442  -14.737115 -13.129536], Bias: 26, Count: 1
Vector 80: Weights: [-37.710161 -24.76112  -17.826615 -12.144616], Bias: 25, Count: 113
Vector 81: Weights: [-38.039361 -20.30592  -22.398415 -11.155816], Bias: 24, Count: 1
Vector 82: Weights: [-36.008361 -18.45392  -25.410515 -11.152813], Bias: 25, Count: 38
Vector 83: Weights: [-33.990661 -16.65572  -28.368615 -10.942913], Bias: 26, Count: 49
Vector 84: Weights: [-34.711341 -23.41402  -22.527815 -10.319223], Bias: 27, Count: 114
Vector 85: Weights: [-32.517041 -18.86372  -27.503815 -13.044623], Bias: 28, Count: 2
Vector 86: Weights: [-36.538841 -27.16772  -14.948815 -14.554523], Bias: 29, Count: 34
Vector 87: Weights: [-35.483641 -25.98202  -17.589915 -14.444193], Bias: 30, Count: 11
Vector 88: Weights: [-33.994041 -22.55322  -21.620815 -15.870093], Bias: 31, Count: 63
Vector 89: Weights: [-31.346141 -32.69062  -20.289815 -10.399393], Bias: 30, Count: 15
Vector 90: Weights: [-31.675381 -28.23542  -24.861615  -9.410593], Bias: 29, Count: 44
Vector 91: Weights: [-32.194881 -24.97212  -27.951115  -8.425693], Bias: 28, Count: 49
Vector 92: Weights: [-32.714381 -21.70882  -31.040615  -7.440793], Bias: 27, Count: 17
